page,item,itemLabel,country,countryLabel,jurisdiction,jurisdictionLabel,inception,abolished
List of current governments,Q111973484,List of current governments,,,,,,
Von der Leyen Commission,Q65590503,Von der Leyen Commission,,,Q458,European Union,2019-12-01,
Hamas government of October 2016,Q28419419,Hamas government of 2016,,,Q39760,Gaza Strip,2016-10-17,2016-11-30
Second Egede cabinet,Q111486937,Second Egede cabinet,,,Q223,Greenland,2022-04-05,
Third Weil cabinet,Q114979509,Third Weil cabinet,,,Q1197,Lower Saxony,2022-11-08,
Second Harutyunyan government,Q96405231,Second Harutyunyan government,,,Q244165,Republic of Artsakh,2020-05-21,
Second W. Misick ministry,Q109776355,Second Misick Cabinet,,,Q18221,Turks and Caicos Islands,2021-02-24,
Cabinet of Afghanistan,Q603838,Cabinet of Afghanistan,Q889,Afghanistan,Q889,Afghanistan,,
Rama III Government,Q108441164,Rama III Government,Q222,Albania,Q222,Albania,2021-09-17,
Benabderrahmane government,Q107447224,Benabderrahmane Cabinet,Q262,Algeria,Q262,Algeria,2021-07-07,
Presidency of Alberto Fernández,Q78155250,presidency of Alberto Fernández,Q414,Argentina,Q414,Argentina,,
Third Pashinyan government,Q108128269,Third Pashinyan government,Q399,Armenia,Q399,Armenia,2021-08-02,
Albanese ministry,Q112114760,Albanese ministry,Q408,Australia,Q408,Australia,2022-05-23,
Nehammer government,Q109907459,Nehammer government,Q40,Austria,Q40,Austria,2021-12-06,
Cabinet of Azerbaijan,Q13410372,Cabinet of Azerbaijan,Q227,Azerbaijan,Q227,Azerbaijan,1991-01-01,
8th Government of Azerbaijan,Q65279005,Asadov Cabinet,Q227,Azerbaijan,Q227,Azerbaijan,2018-04-01,
Government of Belarus,Q997640,Council of Ministers of the Republic of Belarus,Q184,Belarus,Q184,Belarus,,
De Croo Government,Q99749625,De Croo government,Q31,Belgium,Q31,Belgium,2020-10-01,
Cabinet of Luis Arce,Q101230919,Arce Cabinet,Q750,Bolivia,Q750,Bolivia,2020-11-09,
Cabinet of Zoran Tegeltija,Q97256455,Cabinet of Zoran Tegeltija,Q225,Bosnia and Herzegovina,Q225,Bosnia and Herzegovina,2019-12-23,
Presidency of Jair Bolsonaro,Q58493777,government of Jair Bolsonaro,Q155,Brazil,Q155,Brazil,2019-01-01,
Donev government,Q113376096,Donev Government,Q219,Bulgaria,Q219,Bulgaria,2022-08-02,
Patriotic Movement for Safeguard and Restoration,Q110666433,Patriotic Movement for Safeguard and Restoration,Q965,Burkina Faso,Q965,Burkina Faso,2022-01-24,
Ndayishimiye cabinet,Q97516131,Ndayishimiye cabinet,Q967,Burundi,Q967,Burundi,2020-06-28,
Cabinet of Hun Sen,Q15579106,Cabinet of Hun Sen,Q424,Cambodia,Q424,Cambodia,2013-09-24,
Joseph Ngute's government,Q60852905,Ngute Cabinet,Q1009,Cameroon,Q1009,Cameroon,2019-01-04,
Smith Ministry,Q114821172,Smith Ministry,Q16,Canada,Q1951,Alberta,2022-10-11,
Horgan ministry,Q113115761,Horgan ministry,Q16,Canada,Q1973,British Columbia,2017-07-18,
29th Canadian Ministry,Q21188948,29th Canadian Ministry,Q16,Canada,Q16,Canada,2015-11-04,
Presidency of Gustavo Petro,Q112643269,Government of Gustavo Petro,Q739,Colombia,Q739,Colombia,,
Cabinet of Gustavo Petro,Q112642528,Cabinet of Gustavo Petro,Q739,Colombia,Q739,Colombia,2022-08-07,
Cabinet of Andrej Plenković II,Q97652364,Cabinet of Andrej Plenković II,Q224,Croatia,Q224,Croatia,2020-07-23,
Second Anastasiades government,Q50083161,Second Anastasiades government,Q229,Cyprus,Q229,Cyprus,2018-03-01,
Cabinet of Petr Fiala,Q109453202,Petr Fiala's Cabinet,Q213,Czech Republic,Q213,Czech Republic,2021-12-17,
Lukonde cabinet,Q106866588,Lukonde cabinet,Q974,Democratic Republic of the Congo,Q974,Democratic Republic of the Congo,2021-04-26,
Frederiksen Cabinet,Q64831553,Frederiksen Cabinet,Q35,Denmark,Q35,Denmark,2019-06-27,
VIII Constitutional Government of East Timor,Q54819597,VIII Constitutional Government of East Timor,Q574,East Timor,Q574,East Timor,2018-06-22,
Government of Guillermo Lasso,Q106481416,Gobierno de Guillermo Lasso,Q736,Ecuador,Q736,Ecuador,2021-05-24,
Cabinet of Nayib Bukele,Q104855056,Cabinet of Nayib Bukele,Q792,El Salvador,Q792,El Salvador,2019-06-01,
Kaja Kallas' second cabinet,Q113136898,Kaja Kallas' second cabinet,Q191,Estonia,Q191,Estonia,2022-07-18,
Marin Cabinet,Q77972346,Sanna Marin's cabinet,Q33,Finland,Q33,Finland,2019-12-10,
Borne government,Q112042684,1st Borne government,Q142,France,Q142,France,2022-05-16,
Second Garibashvili government,Q110612600,Second Garibashvili government,Q230,Georgia,Q230,Georgia,2021-02-22,
Second Söder cabinet,Q58212488,Cabinet Söder II,Q183,Germany,Q980,Bavaria,2018-11-06,
Scholz cabinet,Q109712556,Scholz cabinet,Q183,Germany,Q183,Germany,2021-12-08,
Second Schwesig cabinet,Q109502333,Q109502333,Q183,Germany,Q1196,Mecklenburg-Western Pomerania,2021-11-15,
Second Günther cabinet,Q112671091,Second Günther cabinet,Q183,Germany,Q1194,Schleswig-Holstein,2022-06-29,
Cabinet of Nana Akufo-Addo,Q39054343,1st Cabinet of Nana Akuffo-Addo,Q117,Ghana,Q117,Ghana,2017-05-01,2021-03-04
Cabinet of Kyriakos Mitsotakis,Q65184515,Cabinet of Kyriakos Mitsotakis,Q41,Greece,Q41,Greece,2019-07-09,
Cabinet of Alejandro Giammattei,Q66380860,Cabinet of Alejandro Giammattei,Q774,Guatemala,Q774,Guatemala,2020-01-14,
Mohamed Béavogui's government,Q109046275,Béavogui Cabinet,Q1006,Guinea,Q1006,Guinea,2021-10-21,2022-08-20
Fifth Orbán Government,Q111475445,Fifth Orbán Government,Q28,Hungary,Q28,Hungary,2022-05-24,
Second cabinet of Katrín Jakobsdóttir,Q109806885,Second cabinet of Katrín Jakobsdóttir,Q189,Iceland,Q189,Iceland,2021-11-28,
Second Pema Khandu ministry,Q65046006,Second Pema Khandu ministry,Q668,India,Q1162,Arunachal Pradesh,2019-05-29,
Sarma ministry,Q106959152,Sarma ministry,Q668,India,Q1164,Assam,2021-05-10,
Jai Ram Thakur ministry,Q48732683,Jai Ram Thakur ministry,Q668,India,Q1177,Himachal Pradesh,2017-12-27,
Second Modi ministry,Q64210877,Second Modi ministry,Q668,India,Q668,India,2019-05-30,
Basavaraj Bommai ministry,Q108044650,Basavaraj Bommai ministry,Q668,India,Q1185,Karnataka,2021-07-28,
Eknath Shinde ministry,Q113101802,Eknath Shinde ministry,Q668,India,Q1191,Maharashtra,2022-06-30,
Mann ministry,Q111242592,Mann ministry,Q668,India,Q22424,Punjab,2022-03-16,
M. K. Stalin ministry,Q106920492,M. K. Stalin ministry,Q668,India,Q1445,Tamil Nadu,2021-05-07,
Manik Saha Ministry,Q112169101,Manik Saha ministry,Q668,India,Q1363,Tripura,2022-05-14,
Third Banerjee ministry,Q106765249,Third Mamata Banerjee ministry,Q668,India,Q1356,West Bengal,2021-05-10,
Onward Indonesia Cabinet,Q71682639,Onward Indonesia Cabinet,Q252,Indonesia,Q252,Indonesia,2019-10-23,
Government of Ebrahim Raisi (2021–present),Q107326691,Government of Ebrahim Raisi (2021-2025),Q794,Iran,Q794,Iran,2021-08-03,
Al-Kadhimi Government,Q100258471,Al-Kadhimi Government,Q796,Iraq,Q796,Iraq,2020-05-06,2022-10-27
Thirty-sixth government of Israel,Q106306784,thirty-sixth government of Israel,Q801,Israel,Q801,Israel,2021-06-13,
Meloni Cabinet,Q114796219,Meloni Cabinet,Q38,Italy,Q38,Italy,2022-10-22,
Zaia III Government,Q104865347,Zaia III Government,Q38,Italy,Q1243,Veneto,2020-10-16,
Achi II government,Q113484606,Achi II government,Q1008,Ivory Coast,Q1008,Ivory Coast,2022-04-20,
Cabinet of Jamaica,Q5015520,Cabinet of Jamaica,Q766,Jamaica,Q766,Jamaica,,
Second Kishida Cabinet (Reshuffled),Q113462430,Second Kishida Cabinet (reshuffled),Q17,Japan,Q17,Japan,2022-08-10,
Bisher Al-Khasawneh's Cabinet,Q100261677,Bisher Al-Khasawneh Cabinet,Q810,Jordan,Q810,Jordan,2020-10-12,
Presidency of Kassym-Jomart Tokayev,Q108582408,Presidency of Kassym-Jomart Tokayev,Q232,Kazakhstan,Q232,Kazakhstan,2019-03-20,
Smaiylov Cabinet,Q110534538,Smaiylov Cabinet,Q232,Kazakhstan,Q232,Kazakhstan,2022-01-11,
Second Jacobs cabinet,Q95422886,Second Jacobs cabinet,Q29999,Kingdom of the Netherlands,Q26273,Sint Maarten,2020-03-28,
Second Kurti cabinet,Q106131506,Second Kurti cabinet,Q1246,Kosovo,Q1246,Kosovo,2021-03-22,
41st Cabinet of Kuwait,Q114421484,41st Cabinet of Kuwait,Q817,Kuwait,Q817,Kuwait,2022-10-05,
Sadyr Japarov's third government,Q109255623,Third Jarapov Cabinet,Q813,Kyrgyzstan,Q813,Kyrgyzstan,2021-10-13,
Kariņš cabinet,Q60890402,Kariņš cabinet,Q211,Latvia,Q211,Latvia,2019-01-23,
Third Cabinet of Najib Mikati,Q108487252,Third Cabinet of Najib Mikati,Q822,Lebanon,Q822,Lebanon,2021-09-10,
Government of National Stability,Q113638573,Government of National Stability,Q1016,Libya,Q1016,Libya,2021-03-10,
Government of National Unity (Libya),Q105742549,Government of National Unity,Q1016,Libya,Q1016,Libya,2021-03-15,
Cabinet of Liechtenstein,Q2137649,Cabinet of Liechtenstein,Q347,Liechtenstein,Q347,Liechtenstein,1921-01-01,
Šimonytė Cabinet,Q101558001,Šimonytė Cabinet,Q37,Lithuania,Q37,Lithuania,2020-12-11,
Bettel–Schneider Ministry II,Q59461371,Bettel–Schneider Government II,Q32,Luxembourg,Q32,Luxembourg,2018-12-05,
Ntsay government,Q89269309,Ntsay Cabinet,Q1019,Madagascar,Q1019,Madagascar,2018-06-04,
Ismail Sabri cabinet,Q108168800,Ismail Sabri cabinet,Q833,Malaysia,Q833,Malaysia,2021-08-21,2022-10-10
Hajiji cabinet,Q109255408,Hajiji cabinet,Q833,Malaysia,Q179029,Sabah,2020-10-29,
Maltese Government 2022–2027,Q111439067,2nd Abela Cabinet,Q233,Malta,Q233,Malta,2022-03-30,
Second government of Mohamed Ould Bilal,Q113115745,Second government of Mohamed Ould Bilal,Q1025,Mauritania,Q1025,Mauritania,2022-04-01,
Presidency of Andrés Manuel López Obrador,Q56274194,Presidency of Andrés Manuel López Obrador,Q96,Mexico,Q96,Mexico,,
Gavrilița Cabinet,Q107849269,Gavrilița Cabinet,Q217,Moldova,Q217,Moldova,2021-08-06,
Cabinet of Aziz Akhannouch,Q108828234,Akhannouch Government,Q1028,Morocco,Q1028,Morocco,2021-10-07,
"Fifth Deuba Cabinet, 2021",Q107523776,"Fifth Deuba Cabinet, 2021",Q837,Nepal,Q837,Nepal,2021-07-13,
Fourth Rutte cabinet,Q110111120,Fourth Rutte cabinet,Q55,Netherlands,Q55,Netherlands,2022-01-10,
Sixth Labour Government of New Zealand,Q42314738,Sixth Labour Government of New Zealand,Q664,New Zealand,Q664,New Zealand,2017-10-26,
Ouhoumoudou Mahamadou's government,Q109037622,Mahamadou Cabinet,Q1032,Niger,Q1032,Niger,2021-04-07,
Second Cabinet of President Muhammadu Buhari,Q25052705,Second Cabinet of President Muhammadu Buhari,Q1033,Nigeria,Q1033,Nigeria,2019-08-21,
14th Cabinet of North Korea,Q106076357,14th Cabinet of North Korea,Q423,North Korea,Q423,North Korea,2019-04-11,
Støre Cabinet,Q108870524,Støre's Cabinet,Q20,Norway,Q20,Norway,2021-10-14,
Shehbaz Sharif ministry (Pakistan),Q111655375,Shehbaz Sharif Cabinet,Q843,Pakistan,Q843,Pakistan,2022-04-19,
Li Keqiang Government,Q10871995,Li Keqiang Government,Q148,People's Republic of China,Q148,People's Republic of China,2013-03-15,
Murad Ebrahim Cabinet,Q97190793,Murad Ebrahim Cabinet,Q928,Philippines,Q806550,Bangsamoro,2019-02-26,
Presidency of Bongbong Marcos,Q112666394,presidency of Bongbong Marcos,Q928,Philippines,Q928,Philippines,,
Second Cabinet of Mateusz Morawiecki,Q75110838,Second Cabinet of Mateusz Morawiecki,Q36,Poland,Q36,Poland,2019-11-15,
XXIII Constitutional Government of Portugal,Q110819776,XXIII Constitutional Government of Portugal,Q45,Portugal,Q45,Portugal,2022-03-30,
Government of the 33rd Dáil,Q47090619,Martin ministry,Q27,Republic of Ireland,Q27,Republic of Ireland,2020-06-27,
Anatole Collinet Makosso's government,Q109037591,Makosso government,Q971,Republic of the Congo,Q971,Republic of the Congo,2021-05-15,
Ciucă Cabinet,Q109680585,Ciucă Cabinet,Q218,Romania,Q218,Romania,2021-11-25,
Mikhail Mishustin's Cabinet,Q82455849,Mikhail Mishustin's Cabinet,Q159,Russia,Q159,Russia,2020-01-21,
Drew ministry,Q113486956,Drew Cabinet,Q763,Saint Kitts and Nevis,Q763,Saint Kitts and Nevis,2022-08-09,
Fourth Sall government,Q109037626,Fourth Sall Cabinet,Q1041,Senegal,Q1041,Senegal,2020-11-01,2022-09-17
Third cabinet of Ana Brnabić,Q114825866,Third cabinet of Ana Brnabić,Q403,Serbia,Q403,Serbia,2022-10-26,
Fifth Lee Hsien Loong Cabinet,Q97667547,Fifth Lee Hsien Loong Cabinet,Q334,Singapore,Q334,Singapore,2020-07-27,
Heger's Cabinet,Q106303161,Heger's Cabinet,Q214,Slovakia,Q214,Slovakia,2021-04-01,
15th Government of Slovenia,Q112121256,15th Government of Slovenia,Q215,Slovenia,Q215,Slovenia,2022-05-25,
Second Cabinet of Cyril Ramaphosa,Q64167569,Second Cabinet of Cyril Ramaphosa,Q258,South Africa,Q258,South Africa,2019-05-29,
Cabinet of Yoon Suk-yeol,Q111993595,Cabinet of Yoon Suk-yeol,Q884,South Korea,Q884,South Korea,2022-05-10,
Second government of Juan Manuel Moreno,Q113192473,Second government of Juan Manuel Moreno,Q29,Spain,Q5783,Andalusia,2022-07-26,
Second government of Javier Lambán,Q66386626,Second Lambán government,Q29,Spain,Q4040,Aragon,2019-08-07,
Government of Adrián Barbón,Q65965461,Barbón Government,Q29,Spain,Q3934,Asturias,2019-07-22,
Government of María Chivite,Q66386582,Chivite government,Q29,Spain,Q4018,Navarre,2019-08-07,
Second government of Pedro Sánchez,Q80922158,Sánchez II Government,Q29,Spain,Q29,Spain,2020-01-13,
Wickremesinghe cabinet,Q113236919,Wickremesinghe cabinet,Q854,Sri Lanka,Q854,Sri Lanka,2022-07-22,
State of Palestine Government of April 2019,Q87367437,Palestinian government of 2019,Q219060,State of Palestine,Q219060,State of Palestine,2019-04-13,
Santokhi cabinet,Q97482082,Cabinet Santkohi,Q730,Suriname,Q730,Suriname,2020-07-16,
Kristersson Cabinet,Q114671310,Kristersson Cabinet,Q34,Sweden,Q34,Sweden,2022-10-18,
Second Hussein Arnous government,Q108803115,Second Hussein Arnous government,Q858,Syria,Q858,Syria,2021-08-10,
Second Prayut cabinet,Q97230427,Second Prayut cabinet,Q869,Thailand,Q869,Thailand,2019-07-10,
Cabinet of the Bahamas,Q5015577,Cabinet of the Bahamas,Q778,The Bahamas,Q778,The Bahamas,,
Bouden Cabinet,Q108866852,Bouden Cabinet,Q948,Tunisia,Q948,Tunisia,2021-10-11,
66th cabinet of Turkey,Q55435983,Cabinet Erdoğan IV,Q43,Turkey,Q43,Turkey,2018-07-10,
Natano Ministry,Q85787810,Natano Ministry,Q672,Tuvalu,Q672,Tuvalu,2019-09-20,
Cabinet of Uganda,Q16148206,Cabinet of Uganda,Q1036,Uganda,Q1036,Uganda,,
Shmyhal Government,Q87070710,Shmyhal Government,Q212,Ukraine,Q212,Ukraine,2020-03-04,
Third Sturgeon government,Q106906168,Government of the 6th Scottish Parliament,Q145,United Kingdom,Q22,Scotland,2021-05-19,
Sunak ministry,Q114838778,Sunak ministry,Q145,United Kingdom,Q145,United Kingdom,2022-10-25,
Second Drakeford government,Q106874092,Second Drakeford government,Q145,United Kingdom,Q25,Wales,2021-05-13,
Government of Pedro Pierluisi Urrutia,Q111452281,Government of Pedro Pierluisi Urrutia,Q30,United States of America,Q1183,Puerto Rico,2021-01-02,
Presidency of Joe Biden,Q101369347,presidency of Joe Biden,Q30,United States of America,Q30,United States of America,,
Second Mnangagwa cabinet,Q60785385,Second Mnangagwa cabinet,Q954,Zimbabwe,Q954,Zimbabwe,2018-09-10,
